Date,BTS1,BTS2,BTS3,BTS4,BTS5
11/1/2018 7:21,6.055439,4.869212,3.949077,3.341604,4.059423
11/1/2018 7:21,5.919047,4.297416,3.514172,4.540973,4.866797
11/1/2018 7:21,5.868846,5.879739,2.96773,5.135875,5.3707
11/1/2018 7:21,5.830219,4.388119,3.111842,4.247816,5.479026
11/1/2018 7:21,6.062085,7.773835,3.821086,4.878937,3.542246
11/1/2018 7:21,6.026593,6.008292,2.733413,2.801548,4.057241
11/1/2018 7:21,6.058808,6.707708,3.936069,2.845091,3.524193
11/1/2018 7:21,5.821447,4.481261,3.27629,2.858039,4.529643
11/1/2018 7:21,6.137909,5.264993,3.398768,3.919009,4.571749
11/1/2018 7:22,6.006569,5.333792,3.124818,2.646897,3.866043
11/1/2018 7:22,5.74806,7.213908,2.896693,3.158281,3.690676
11/1/2018 7:22,6.031156,4.144781,2.666599,4.433607,3.213425
11/1/2018 7:22,6.314132,3.638822,3.200718,3.967732,3.653003
11/1/2018 7:22,5.920618,3.816337,2.932903,2.949307,4.328635
11/1/2018 7:22,5.984979,7.426774,2.89212,3.041773,4.179657
11/1/2018 7:22,5.956262,5.119369,3.959031,3.003551,3.974569
11/1/2018 7:22,6.151188,6.359774,3.226179,2.912899,3.348778
11/1/2018 7:22,6.249212,4.75414,3.651983,4.031801,3.769979
11/1/2018 7:22,5.801394,5.813927,4.111764,3.446217,3.749584
11/1/2018 7:22,6.037118,6.947626,3.844252,3.653867,3.499628
11/1/2018 7:22,6.192715,6.776922,3.527874,3.475091,4.746858
11/1/2018 7:23,5.847206,5.846941,4.06389,4.191291,4.489429
11/1/2018 7:23,5.986382,5.148063,3.303923,3.911989,3.947505
11/1/2018 7:23,5.939334,5.772602,3.486413,3.056694,3.710922
11/1/2018 7:23,6.035696,4.875815,3.685834,3.559154,4.373526
11/1/2018 7:23,6.048604,8.23336,3.284972,4.669197,3.996029
11/1/2018 7:23,6.140098,5.127692,3.438137,2.722493,3.444874
11/1/2018 7:23,5.941901,4.402362,3.361587,3.675988,5.082636
11/1/2018 7:23,5.811868,6.31402,2.723617,3.478022,3.05574
11/1/2018 7:23,6.261021,5.232311,3.631995,2.486282,3.55542
11/1/2018 7:23,5.978518,5.895348,3.702208,3.198497,4.41354
11/1/2018 7:23,5.767413,5.480044,3.488017,3.024533,5.520987
11/1/2018 7:23,6.115966,7.29381,2.776687,4.235544,4.232463
11/1/2018 7:24,6.090061,5.647448,3.610198,3.252791,4.008827
11/1/2018 7:24,5.998644,5.519865,3.76547,2.786782,4.186116
11/1/2018 7:24,5.830543,4.274073,3.158326,2.634254,3.485576
11/1/2018 7:24,5.892302,4.72601,4.752636,3.152572,4.665037
11/1/2018 7:24,6.055441,4.935938,2.830898,3.329999,4.708169
11/1/2018 7:24,6.306495,4.246557,3.52858,3.191307,3.930638
11/1/2018 7:24,5.956795,5.691896,3.010197,2.89438,2.89918
11/1/2018 7:24,6.293937,5.526526,3.401116,3.765855,3.316238
11/1/2018 7:24,5.987859,6.036377,3.045934,2.815206,4.214251
11/1/2018 7:24,6.15421,5.006481,4.912917,3.781167,4.033613
11/1/2018 7:24,6.232432,7.329766,3.050664,3.309957,3.729461
11/1/2018 7:24,5.830155,5.706,3.358956,3.486303,3.776363
11/1/2018 7:25,5.825987,5.009167,2.697074,2.800237,3.392536
11/1/2018 7:25,5.951696,5.0021,3.021122,3.765333,4.056179
11/1/2018 7:25,5.867323,5.846106,4.185804,3.272614,3.661778
11/1/2018 7:25,6.030222,5.913283,2.981771,4.535875,3.764208
11/1/2018 7:25,6.032117,7.94256,4.470959,3.106151,3.380702
11/1/2018 7:25,5.888687,4.092437,3.504748,2.6488,4.75997
11/1/2018 7:25,6.234063,6.076959,4.182775,3.136692,3.339003
11/1/2018 7:25,6.247672,6.093876,2.792542,3.218491,4.33785
11/1/2018 7:25,6.147832,5.348854,3.797567,3.104903,3.148073
11/1/2018 7:25,6.162499,4.363587,4.755664,2.74299,6.697312
11/1/2018 7:25,5.824598,4.315416,3.560739,3.078317,4.425648
11/1/2018 7:25,6.174154,5.760307,2.842288,3.254275,4.483659
11/1/2018 7:26,6.116573,5.098367,4.008947,3.667309,5.451003
11/1/2018 7:26,6.067007,4.61806,3.1982,3.081146,3.435912
11/1/2018 7:26,5.785589,6.061411,3.232502,4.628359,4.353348
11/1/2018 7:26,6.028285,6.469776,3.149647,3.522865,4.284451
11/1/2018 7:26,6.206528,5.144739,3.271762,3.912066,3.357328
11/1/2018 7:26,5.990962,6.494884,4.086663,3.352771,5.620292
11/1/2018 7:26,6.192577,4.571534,3.466063,2.468394,4.537402
11/1/2018 7:26,5.901244,3.71248,3.518571,3.753409,6.124491
11/1/2018 7:26,6.012988,3.997025,4.206172,3.182384,5.582336
11/1/2018 7:26,5.898946,6.092872,2.731133,3.794561,4.379042
11/1/2018 7:26,5.956711,4.567039,3.434813,2.911223,3.74502
11/1/2018 7:26,5.854716,5.257214,2.619275,3.208059,3.742235
11/1/2018 7:27,6.01989,4.850713,2.647302,2.824158,3.542358
11/1/2018 7:27,5.814431,5.255383,2.877081,3.300041,4.257771
11/1/2018 7:27,6.244154,4.042859,4.340937,3.52845,3.559644
11/1/2018 7:27,6.144946,3.756361,4.130509,3.364651,3.353279
11/1/2018 7:27,6.091974,5.867138,3.451913,3.378255,3.435959
11/1/2018 7:27,5.953725,3.76071,3.93707,3.86623,3.199338
11/1/2018 7:27,6.175372,5.358757,2.990463,2.849708,3.933895
11/1/2018 7:27,6.088887,5.357429,3.051733,2.291099,4.437582
11/1/2018 7:27,5.948414,5.377098,3.879195,2.90719,3.946807
11/1/2018 7:27,6.028973,5.83401,2.880537,2.67702,3.105875
